year,cmortality,lifeexp,lifeexpf,lifeexpm,gdp,hexp,immun
2000,77.31333333,62.48828991,64.72449242,60.32154545,1440.880856,5.458440481,76.09160305
2001,74.48962963,62.75108155,64.97772519,60.59312214,1436.026429,5.542871967,77.20610687
2002,71.59851852,63.15956264,65.38431061,61.00328788,1459.605104,5.551865832,77.62121212
2003,68.73925926,63.40708887,65.63194402,61.24977354,1638.4737,5.657640907,78.78030303
2004,66.13925926,63.79255166,66.02179109,61.63010662,1892.809707,5.797434041,80
2005,63.24518519,64.19001428,66.42728779,62.01866947,2183.308291,5.870753842,82.06060606
2006,60.61703704,64.62697915,66.87193893,62.44683969,2496.883576,5.878309104,82.56390977
2007,58.09851852,65.07692404,67.33707634,62.88090076,2930.729566,5.902618852,84.48120301
2008,55.85333333,65.5191631,67.79000763,63.31167939,3486.787225,5.823710058,84.84210526
2009,53.3962963,65.97595736,68.26570229,63.74910687,3190.360337,6.023371266,85.70676692
2010,52.03185185,66.39118674,68.70370992,64.14161069,3570.541099,5.977368606,85.79699248
2011,48.98444444,66.80535766,69.13885496,64.53291603,3953.446042,5.879284382,86.07462687
2012,47.00222222,67.19367529,69.54372519,64.90369466,4169.191935,5.854329273,86.26865672
2013,45.1962963,67.5608572,69.9288626,65.25203817,4239.381512,5.986272079,85.26865672
2014,43.56222222,67.89014504,70.27238168,65.56557252,4251.188673,6.131258708,84.47014925
2015,42.01777778,68.20009421,70.59548092,65.86531298,3718.10524,6.257121472,84.70149254
2016,40.56518519,68.49377285,70.8910916,66.15258015,3646.785345,6.254481881,84.85074627